,source,target,size
0,58,1717.0,147
1,58,1721.0,126
2,193,2981.0,52
3,365,1550.0,57
4,365,1632.0,76
5,367,779.0,28
6,367,3053.0,28
7,374,1040.0,7
8,374,2211.0,7
9,380,1690.0,240
10,380,2910.0,240
11,381,2345.0,152
12,381,3119.0,152
13,388,807.0,104
14,388,1937.0,104
15,397,1808.0,58
16,397,2697.0,48
17,401,872.0,30
18,401,3222.0,40
19,405,1029.0,240
20,405,1046.0,210
21,406,1858.0,6
22,407,615.0,56
23,407,1863.0,42
24,424,2223.0,30
25,424,2235.0,29
26,438,731.0,40
27,438,1698.0,40
28,451,654.0,40
29,451,1492.0,121
30,451,2974.0,79
31,453,905.0,140
32,453,1841.0,139
33,455,2573.0,76
34,455,2808.0,76
35,457,2790.0,11
36,461,1259.0,20
37,461,2713.0,18
38,461,2793.0,18
39,472,866.0,54
40,472,2336.0,54
41,576,1634.0,24
42,576,2603.0,32
43,588,746.0,44
44,588,2143.0,50
45,615,407.0,42
46,615,1188.0,56
47,618,1139.0,34
48,618,1228.0,57
49,618,2993.0,92
50,632,2223.0,29
51,632,2697.0,58
52,632,3016.0,27
53,632,3183.0,48
54,632,3596.0,42
55,634,2337.0,88
56,634,3074.0,101
57,635,1393.0,33
58,635,1853.0,44
59,636,2636.0,44
60,636,2906.0,33
61,641,3071.0,9
62,642,768.0,101
63,642,1604.0,101
64,654,451.0,40
65,654,2250.0,40
66,698,406.0,6
67,710,2487.0,200
68,710,2520.0,200
69,725,1645.0,35
70,725,2112.0,46
71,731,438.0,40
72,731,872.0,30
73,734,1229.0,44
74,734,1974.0,84
75,734,2437.0,44
76,734,2603.0,86
77,734,5154.0,26
78,734,5378.0,70
79,736,737.0,50
80,736,2143.0,44
81,737,736.0,44
82,737,1039.0,50
83,746,588.0,50
84,746,2518.0,11
85,746,2790.0,44
86,766,1393.0,363
87,766,1554.0,270
88,766,3098.0,28
89,766,5264.0,61
90,768,642.0,101
91,768,3101.0,101
92,779,367.0,21
93,779,1386.0,147
94,779,1721.0,21
95,780,1187.0,147
96,780,2923.0,147
97,799,1085.0,24
98,799,2419.0,48
99,801,1542.0,33
100,801,2260.0,33
101,807,388.0,104
102,807,1111.0,30
103,807,1550.0,33
104,807,1551.0,104
105,807,3015.0,8
106,811,1998.0,48
107,811,2836.0,48
108,813,3038.0,54
109,813,3114.0,54
110,819,899.0,108
111,819,2696.0,108
112,819,5046.0,91
113,858,1554.0,240
114,858,2033.0,240
115,866,472.0,54
116,866,2112.0,54
117,872,401.0,30
118,872,731.0,30
119,873,899.0,108
120,873,1208.0,108
121,883,892.0,50
122,883,932.0,47
123,891,2930.0,79
124,891,3074.0,101
125,892,883.0,47
126,892,2919.0,50
127,899,819.0,108
128,899,873.0,108
129,905,453.0,127
130,905,1964.0,104
131,905,1998.0,48
132,926,1940.0,36
133,926,2763.0,36
134,932,883.0,50
135,932,1201.0,47
136,934,1153.0,6
137,934,1704.0,54
138,934,2513.0,60
139,937,1134.0,92
140,937,1969.0,42
141,937,2686.0,36
142,947,1754.0,40
143,947,1761.0,40
144,948,1393.0,20
145,948,2757.0,20
146,950,1193.0,88
147,950,2337.0,88
148,951,2910.0,240
149,951,2919.0,240
150,964,2518.0,11
151,964,3123.0,11
152,975,457.0,11
153,997,2763.0,47
154,997,3372.0,50
155,1005,1639.0,46
156,1005,1645.0,24
157,1005,1973.0,22
158,1029,405.0,240
159,1029,1413.0,240
160,1037,2046.0,32
161,1037,3095.0,48
162,1039,737.0,44
163,1039,2046.0,50
164,1040,374.0,7
165,1040,1202.0,7
166,1046,405.0,210
167,1046,1393.0,240
168,1066,1937.0,91
169,1066,1964.0,91
170,1085,799.0,48
171,1085,2419.0,44
172,1085,2437.0,68
173,1087,1158.0,116
174,1087,85053.0,36
175,1089,2275.0,32
176,1093,1528.0,56
177,1093,1739.0,42
178,1099,1473.0,58
179,1099,1808.0,48
180,1100,2504.0,9
181,1111,807.0,29
182,1111,2235.0,30
183,1119,2612.0,88
184,1119,2982.0,88
185,1128,1151.0,48
186,1128,2437.0,58
187,1134,937.0,92
188,1134,1584.0,24
189,1134,1626.0,7
190,1134,2211.0,24
191,1134,2589.0,36
192,1139,618.0,35
193,1139,1225.0,76
194,1139,1263.0,32
195,1139,1846.0,34
196,1139,2151.0,76
197,1151,1128.0,48
198,1151,2015.0,48
199,1153,934.0,6
200,1153,1704.0,54
201,1153,2894.0,60
202,1158,1087.0,124
203,1158,3222.0,176
204,1174,1618.0,152
205,1174,3119.0,152
206,1187,780.0,147
207,1187,1721.0,126
208,1188,615.0,42
209,1188,2481.0,56
210,1189,1225.0,76
211,1189,1846.0,76
212,1193,950.0,88
213,1193,1761.0,88
214,1201,932.0,50
215,1201,3372.0,47
216,1202,1040.0,7
217,1202,1940.0,79
218,1202,2112.0,24
219,1202,2211.0,24
220,1202,3109.0,22
221,1208,873.0,108
222,1208,3222.0,95
223,1225,1139.0,76
224,1225,1189.0,76
225,1228,618.0,57
226,1228,1258.0,76
227,1229,734.0,44
228,1229,2099.0,44
229,1230,1581.0,255
230,1230,2696.0,255
231,1253,3012.0,9
232,1258,1228.0,76
233,1258,2151.0,76
234,1259,461.0,20
235,1259,2713.0,20
236,1263,1139.0,32
237,1263,3013.0,32
238,1311,1585.0,52
239,1311,2640.0,39
240,1329,1575.0,57
241,1329,2993.0,76
242,1386,779.0,147
243,1386,2923.0,147
244,1393,635.0,44
245,1393,766.0,363
246,1393,948.0,20
247,1393,1046.0,240
248,1393,2713.0,18
249,1393,2994.0,73
250,1402,1858.0,48
251,1402,2934.0,32
252,1404,3032.0,6
253,1407,1467.0,20
254,1407,2934.0,48
255,1413,1029.0,240
256,1413,2994.0,240
257,1415,2881.0,22
258,1415,3109.0,11
259,1425,1835.0,54
260,1425,3038.0,54
261,1467,1407.0,36
262,1467,3095.0,32
263,1473,1099.0,48
264,1473,2015.0,58
265,1492,451.0,119
266,1492,2994.0,109
267,1528,1093.0,42
268,1528,1949.0,56
269,1542,801.0,33
270,1542,2636.0,33
271,1550,365.0,76
272,1550,807.0,14
273,1550,1551.0,104
274,1550,1632.0,23
275,1550,1841.0,24
276,1550,2982.0,88
277,1550,3015.0,16
278,1551,807.0,104
279,1551,1550.0,104
280,1554,766.0,270
281,1554,858.0,240
282,1554,3098.0,40
283,1575,1329.0,76
284,1575,1934.0,57
285,1581,1230.0,266
286,1581,1841.0,241
287,1584,1134.0,12
288,1584,1720.0,51
289,1584,2686.0,36
290,1584,2820.0,200
291,1585,1311.0,39
292,1585,1682.0,52
293,1593,2260.0,44
294,1604,642.0,101
295,1604,2930.0,79
296,1618,1174.0,152
297,1618,2909.0,133
298,1626,1134.0,7
299,1626,2164.0,7
300,1632,365.0,57
301,1632,1550.0,24
302,1632,1934.0,76
303,1632,2993.0,34
304,1634,576.0,24
305,1634,3022.0,24
306,1639,1005.0,46
307,1645,725.0,34
308,1645,1005.0,24
309,1645,2557.0,11
310,1682,1585.0,39
311,1682,2889.0,52
312,1688,2520.0,200
313,1688,2604.0,200
314,1690,380.0,210
315,1690,3061.0,210
316,1698,438.0,40
317,1698,1754.0,40
318,1698,5092.0,124
319,1698,5094.0,106
320,1704,934.0,54
321,1704,1153.0,54
322,1707,1713.0,304
323,1707,1715.0,68
324,1707,5048.0,423
325,1707,5053.0,35
326,1707,5054.0,620
327,1707,5056.0,304
328,1707,5065.0,358
329,1708,3098.0,373
330,1708,3099.0,392
331,1711,1712.0,230
332,1711,1715.0,335
333,1711,2716.0,513
334,1712,1711.0,237
335,1712,1720.0,84
336,1712,1728.0,85
337,1712,2147.0,102
338,1712,2919.0,14
339,1712,3099.0,14
340,1712,3169.0,147
341,1713,1707.0,304
342,1713,1714.0,696
343,1713,3099.0,392
344,1714,1713.0,696
345,1714,1719.0,696
346,1715,1707.0,68
347,1715,1711.0,368
348,1715,1728.0,61
349,1715,3098.0,60
350,1715,3099.0,42
351,1716,1721.0,28
352,1717,58.0,147
353,1717,3169.0,147
354,1718,1720.0,266
355,1718,3169.0,392
356,1718,3468.0,683
357,1719,1714.0,696
358,1719,1723.0,666
359,1720,1584.0,51
360,1720,1712.0,90
361,1720,1718.0,266
362,1720,2046.0,44
363,1720,2487.0,200
364,1721,58.0,147
365,1721,779.0,21
366,1721,1187.0,126
367,1721,1716.0,28
368,1723,1719.0,666
369,1723,3468.0,666
370,1728,1712.0,88
371,1728,1715.0,61
372,1728,1841.0,58
373,1728,3098.0,18
374,1739,1093.0,56
375,1739,2481.0,42
376,1754,947.0,40
377,1754,1698.0,40
378,1761,947.0,40
379,1761,1193.0,88
380,1761,1930.0,88
381,1808,397.0,48
382,1808,1099.0,58
383,1835,1425.0,54
384,1835,2603.0,54
385,1841,453.0,152
386,1841,807.0,12
387,1841,1550.0,11
388,1841,1581.0,252
389,1841,1728.0,59
390,1841,1842.0,101
391,1841,2696.0,18
392,1841,2716.0,495
393,1842,1841.0,101
394,1842,3101.0,101
395,1846,1139.0,23
396,1846,1189.0,76
397,1846,2760.0,34
398,1846,2808.0,76
399,1848,2419.0,24
400,1848,3048.0,48
401,1853,635.0,33
402,1853,2833.0,44
403,1858,1402.0,32
404,1858,1899.0,48
405,1858,1936.0,8
